airline_name,source,destination,date_of_journey,departure_time,arrival_time,duration,total_ s,route,target_variable_price
 IndiGo,RPR,DEL,07-Jun,14:45,08:05,17h 20,2," BOM, IXC",23079
 Vistara,RPR,DEL,07-Jun,14:45,16:30,25h 45,2," BOM, IXC",24587
 IndiGo,RPR,DEL,07-Jun,14:45,22:25,31h 40,3," BOM, IXC, BLR",43098
 IndiGo ,RPR,DEL,07-Jun,08:15,10:20,26h 05,2," IXD, LKO",24982
 Vistara,DEL,RPR,07-Jun,06:40,08:20,1h 40,0,,5817
 IndiGo,DEL,RPR,07-Jun,19:00,20:45,1h 45,0,,6529
 Air India,DEL,RPR,07-Jun,05:20,07:10,1h 50,0,,6506
 IndiGo,DEL,RPR,07-Jun,06:50,08:40,1h 50,0,,6529
 IndiGo,DEL,RPR,07-Jun,15:15,17:10,1h 55,0,,6529
 IndiGo,DEL,RPR,07-Jun,11:55,13:45,1h 50,0,,7804
 Vistara,DEL,RPR,07-Jun,18:00,19:45,1h 45,0,,7713
 Air India,DEL,RPR,07-Jun,07:00,11:45,4h 45,1, BOM,13483
 IndiGo,DEL,RPR,07-Jun,05:45,16:30,10h 45,1, BHO,10514
 IndiGo,DEL,RPR,07-Jun,09:35,19:25,9h 50,1, BBI,10779
 IndiGo,DEL,RPR,07-Jun,10:40,18:25,7h 45,1, IXD,13584
 IndiGo,DEL,RPR,07-Jun,21:05,10:45,13h 40,2," JAI, HYD",10857
 SpiceJet,DEL,RPR,07-Jun,20:00,10:45,14h 45,2," JAI, HYD",10773
 IndiGo,DEL,RPR,07-Jun,23:35,07:25,7h 50,1, BOM,18741
 Air India ,DEL,RPR,07-Jun,21:15,07:25,10h 10,1, BOM,18070
 AirAsia India ,DEL,RPR,07-Jun,22:20,10:45,12h 25,2," JAI, HYD",11182
 IndiGo,DEL,RPR,07-Jun,22:15,10:25,12h 10,1, AMD,15062
 Air India,DEL,RPR,07-Jun,22:00,11:45,13h 45,2," GOI, BOM",20030
 IndiGo,DEL,RPR,07-Jun,10:10,18:55,8h 45,1, IDR,15824
 Air India,DEL,RPR,07-Jun,17:55,11:45,17h 50,2," IXU, BOM",15197
 Air India,DEL,RPR,07-Jun,15:05,11:45,20h 40,2," IDR, BOM",14535
 Air India,DEL,RPR,07-Jun,22:00,11:45,37h 45,2," GOI, BOM",19491
 GoAir,BOM,DEL,07-Jun,18:00,20:05,2h 05,0,,5360
 GoAir,BOM,DEL,07-Jun,05:55,08:00,2h 05,0,,5360
 GoAir,BOM,DEL,07-Jun,08:35,10:45,2h 10,0,,5360
 GoAir,BOM,DEL,07-Jun,13:50,16:00,2h 10,0,,5360
 GoAir,BOM,DEL,07-Jun,00:10,02:20,2h 10,0,,5360
 GoAir,BOM,DEL,07-Jun,10:55,13:10,2h 15,0,,5360
 GoAir,BOM,DEL,07-Jun,15:20,17:35,2h 15,0,,5360
 GoAir,BOM,DEL,07-Jun,20:40,22:55,2h 15,0,,5360
 GoAir,BOM,DEL,07-Jun,21:50,00:05,2h 15,0,,5360
 GoAir,BOM,DEL,07-Jun,22:30,00:50,2h 20,0,,5360
 IndiGo,BOM,DEL,07-Jun,02:40,04:35,1h 55,0,,6753
 AirAsia India,BOM,DEL,07-Jun,19:45,21:45,2h,0,,6648
 Vistara,BOM,DEL,07-Jun,06:30,08:35,2h 05,0,,6917
 Vistara,BOM,DEL,07-Jun,06:00,08:05,2h 05,0,,6917
 SpiceJet,BOM,DEL,07-Jun,07:20,09:35,2h 15,0,,6676
 IndiGo,BOM,DEL,07-Jun,07:00,09:05,2h 05,0,,7142
 Vistara,BOM,DEL,07-Jun,22:45,00:55,2h 10,0,,6917
 IndiGo,BOM,DEL,07-Jun,08:30,10:40,2h 10,0,,7142
 IndiGo,BOM,DEL,07-Jun,14:35,16:35,2h,0,,7142
 IndiGo,BOM,DEL,07-Jun,23:30,01:40,2h 10,0,,6753
 IndiGo,BOM,DEL,07-Jun,06:05,08:15,2h 10,0,,7142
 IndiGo,BOM,DEL,07-Jun,12:05,14:10,2h 05,0,,7142
 IndiGo,BOM,DEL,07-Jun,12:40,14:45,2h 05,0,,7142
 IndiGo,BOM,DEL,07-Jun,18:35,20:45,2h 10,0,,7142
 IndiGo,BOM,DEL,07-Jun,19:30,21:40,2h 10,0,,7142
 IndiGo,BOM,DEL,07-Jun,10:10,12:20,2h 10,0,,7142
 Vistara,BOM,DEL,07-Jun,21:55,00:10,2h 15,0,,6917
 SpiceJet,BOM,DEL,07-Jun,16:00,18:20,2h 20,0,,6676
 Vistara,BOM,DEL,07-Jun,11:55,14:05,2h 10,0,,7228
 IndiGo,BOM,DEL,07-Jun,07:45,10:00,2h 15,0,,7142
 IndiGo,BOM,DEL,07-Jun,17:10,19:25,2h 15,0,,7142
 IndiGo,BOM,DEL,07-Jun,15:55,18:10,2h 15,0,,7142
 IndiGo,BOM,DEL,07-Jun,09:25,11:40,2h 15,0,,7142
 Air India,BOM,DEL,07-Jun,07:00,09:05,2h 05,0,,7736
 SpiceJet,BOM,DEL,07-Jun,00:35,03:00,2h 25,0,,6676
 SpiceJet,BOM,DEL,07-Jun,19:35,22:00,2h 25,0,,6676
 Vistara,BOM,DEL,07-Jun,14:40,16:55,2h 15,0,,7228
 Vistara,BOM,DEL,07-Jun,10:25,12:40,2h 15,0,,7250
 IndiGo,BOM,DEL,07-Jun,20:35,22:55,2h 20,0,,7142
 Vistara,BOM,DEL,07-Jun,12:25,14:30,2h 05,0,,8025
 Air India,BOM,DEL,07-Jun,18:00,20:10,2h 10,0,,7736
 Vistara,BOM,DEL,07-Jun,15:45,18:05,2h 20,0,,7228
 Air India,BOM,DEL,07-Jun,13:00,15:15,2h 15,0,,7736
 Air India,BOM,DEL,07-Jun,08:00,10:15,2h 15,0,,7736
 Vistara,BOM,DEL,07-Jun,19:45,21:55,2h 10,0,,8025
 Air India,BOM,DEL,07-Jun,19:00,21:15,2h 15,0,,7736
 Vistara,BOM,DEL,07-Jun,20:55,23:00,2h 05,0,,8535
 Air India,BOM,DEL,07-Jun,16:00,18:20,2h 20,0,,7736
 Air India,BOM,DEL,07-Jun,10:00,12:20,2h 20,0,,7736
 Vistara,BOM,DEL,07-Jun,18:30,20:40,2h 10,0,,8535
 Vistara,BOM,DEL,07-Jun,17:35,19:45,2h 10,0,,8662
 Vistara,BOM,DEL,07-Jun,08:45,11:00,2h 15,0,,8535
 Vistara,BOM,DEL,07-Jun,07:30,09:40,2h 10,0,,9044
 Novaturas,BOM,DEL,07-Jun,05:55,08:00,2h 05,0,,10704
 Novaturas,BOM,DEL,07-Jun,18:00,20:05,2h 05,0,,10704
 Novaturas,BOM,DEL,07-Jun,13:50,16:00,2h 10,0,,10704
 Novaturas,BOM,DEL,07-Jun,00:10,02:20,2h 10,0,,10704
 Novaturas,BOM,DEL,07-Jun,08:35,10:45,2h 10,0,,10704
 Novaturas,BOM,DEL,07-Jun,11:00,13:10,2h 10,0,,10704
 Novaturas,BOM,DEL,07-Jun,21:50,00:05,2h 15,0,,10704
 Novaturas,BOM,DEL,07-Jun,15:20,17:35,2h 15,0,,10704
 Novaturas,BOM,DEL,07-Jun,20:40,22:55,2h 15,0,,10704
 Air India,BOM,DEL,07-Jun,15:25,19:10,3h 45,1, IXU,7736
 Air India,BOM,DEL,07-Jun,07:20,11:10,3h 50,1, IDR,7736
 Vistara,BOM,DEL,07-Jun,06:35,10:15,3h 40,1, AMD,8365
 IndiGo,BOM,DEL,07-Jun,17:50,21:35,3h 45,1, UDR,9724
 IndiGo,BOM,DEL,07-Jun,17:20,21:55,4h 35,1, JAI,8931
 GoAir,BOM,DEL,07-Jun,10:50,16:15,5h 25,1, IXJ,7732
 SpiceJet,BOM,DEL,07-Jun,15:35,21:10,5h 35,1, GOI,7620
 IndiGo,BOM,DEL,07-Jun,16:55,20:55,4h,1, AMD,10792
 IndiGo,BOM,DEL,07-Jun,18:55,23:15,4h 20,1, AMD,10988
 SpiceJet,BOM,DEL,07-Jun,12:10,18:25,6h 15,1, DBR,7620
 IndiGo,BOM,DEL,07-Jun,12:40,17:15,4h 35,1, AMD,10792
 SpiceJet,BOM,DEL,07-Jun,06:05,12:45,6h 40,1, JAI,7620
 GoAir,BOM,DEL,07-Jun,12:50,19:25,6h 35,1, VNS,7732
 IndiGo,BOM,DEL,07-Jun,17:45,22:40,4h 55,1, BDQ,10545
 SpiceJet,BOM,DEL,07-Jun,06:45,13:35,6h 50,1, SXR,7620
 Vistara,BOM,DEL,07-Jun,12:15,16:45,4h 30,1, UDR,11612
 GoAir,BOM,DEL,07-Jun,19:10,00:10,5h,1, AMD,10463
 IndiGo,BOM,DEL,07-Jun,00:35,05:50,5h 15,1, AMD,10204
 IndiGo,BOM,DEL,07-Jun,17:20,23:25,6h 05,1, JAI,8848
 SpiceJet,BOM,DEL,07-Jun,11:50,19:00,7h 10,1, KQH,7620
 Air India,BOM,DEL,07-Jun,18:35,23:20,4h 45,1, AMD,11510
 AirAsia India,BOM,DEL,07-Jun,18:10,01:20,7h 10,1, BLR,7639
 SpiceJet,BOM,DEL,07-Jun,05:50,13:10,7h 20,1, GOP,7620
 GoAir,BOM,DEL,07-Jun,16:20,23:55,7h 35,1, LKO,7732
 Vistara,BOM,DEL,07-Jun,12:10,16:20,4h 10,1, DED,15059
 IndiGo,BOM,DEL,07-Jun,08:00,15:20,7h 20,1, JAI,8848
 IndiGo,BOM,DEL,07-Jun,09:40,15:10,5h 30,1, NAG,11862
 SpiceJet,BOM,DEL,07-Jun,06:35,15:35,9h,1, DBR,7620
 Vistara,BOM,DEL,07-Jun,22:35,08:20,9h 45,1, AMD,7042
 SpiceJet,BOM,DEL,07-Jun,14:25,23:30,9h 05,1, PAT,7620
 GoAir,BOM,DEL,07-Jun,10:50,19:45,8h 55,2," IXJ, SXR",7892
 IndiGo,BOM,DEL,07-Jun,15:00,21:15,6h 15,1, IDR,11340
 Vistara,BOM,DEL,07-Jun,10:45,15:40,4h 55,1, HYD,14455
 AirAsia India,BOM,DEL,07-Jun,15:25,01:00,9h 35,1, JAI,7639
 IndiGo,BOM,DEL,07-Jun,06:35,14:10,7h 35,1, UDR,9724
 IndiGo,BOM,DEL,07-Jun,22:55,07:40,8h 45,1, JAI,8630
 IndiGo,BOM,DEL,07-Jun,06:25,13:35,7h 10,1, AMD,10792
 GoAir,BOM,DEL,07-Jun,11:55,21:55,10h,1, PAT,7892
 IndiGo,BOM,DEL,07-Jun,18:15,01:00,6h 45,1, NAG,11861
 Vistara,BOM,DEL,07-Jun,06:20,12:30,6h 10,1, HYD,13133
 Vistara,BOM,DEL,07-Jun,11:25,17:05,5h 40,1, GOI,14671
 Vistara,BOM,DEL,07-Jun,16:30,22:25,5h 55,1, BLR,14107
 Vistara,BOM,DEL,07-Jun,09:05,14:10,5h 05,1, BLR,16472
 Vistara,BOM,DEL,07-Jun,07:00,12:40,5h 40,1, BLR,14848
 IndiGo,BOM,DEL,07-Jun,07:15,13:45,6h 30,1, IDR,12947
 SpiceJet,BOM,DEL,07-Jun,14:55,22:15,7h 20,1, RAJ,11761
 SpiceJet,BOM,DEL,07-Jun,11:15,17:45,6h 30,1, GOI,13361
 Vistara,BOM,DEL,07-Jun,16:00,21:35,5h 35,1, BLR,15833
 Vistara,BOM,DEL,07-Jun,12:45,21:35,8h 50,1, IDR,10404
 GoAir,BOM,DEL,07-Jun,05:25,17:05,11h 40,1, CCU,7892
 Vistara,BOM,DEL,07-Jun,17:50,23:55,6h 05,1, MAA,15213
 Vistara,BOM,DEL,07-Jun,17:30,23:50,6h 20,1, BLR,14863
 Air India,BOM,DEL,07-Jun,21:00,03:55,6h 55,1, GOI,13610
 AirAsia India,BOM,DEL,07-Jun,07:50,19:55,12h 05,1, IXR,7825
 Vistara,BOM,DEL,07-Jun,20:00,08:20,12h 20,1, AMD,7741
 Air India,BOM,DEL,07-Jun,06:10,12:50,6h 40,1, BLR,14765
 GoAir,BOM,DEL,07-Jun,20:10,08:40,12h 30,1, BLR,7892
 SpiceJet,BOM,DEL,07-Jun,06:45,13:20,6h 35,1, SXR,15316
 SpiceJet,BOM,DEL,07-Jun,19:35,08:55,13h 20,1, MAA,7620
 Vistara,BOM,DEL,07-Jun,06:45,13:25,6h 40,1, MAA,15595
 Vistara,BOM,DEL,07-Jun,10:25,15:20,4h 55,1, SXR,21898
 Vistara,BOM,DEL,07-Jun,14:05,21:10,7h 05,1, CCU,15511
 GoAir,BOM,DEL,07-Jun,12:10,22:30,10h 20,1, AMD,10762
 AirAsia India,BOM,DEL,07-Jun,20:40,10:55,14h 15,1, GOI,7825
 Air India,BOM,DEL,07-Jun,06:40,13:35,6h 55,1, CCJ,16392
 Vistara,BOM,DEL,07-Jun,11:55,18:20,6h 25,1, CJB,17758
 GoAir,BOM,DEL,07-Jun,15:40,00:15,8h 35,1, BLR,13428
 GoAir,BOM,DEL,07-Jun,11:30,20:10,8h 40,1, GOI,13338
 Air India,BOM,DEL,07-Jun,16:40,00:30,7h 50,1, BLR,14765
 Air India,BOM,DEL,07-Jun,17:10,23:45,6h 35,1, COK,17586
 GoAir,BOM,DEL,07-Jun,18:20,08:20,14h,1, HYD,8399
 GoAir,BOM,DEL,07-Jun,22:30,09:40,11h 10,1, AMD,10762
 Air India,BOM,DEL,07-Jun,06:00,13:30,7h 30,1, CCU,16434
 Air India,BOM,DEL,07-Jun,05:25,13:00,7h 35,1, MAA,16434
 Vistara,BOM,DEL,07-Jun,06:00,16:30,10h 30,1, IXC,12056
 SpiceJet,BOM,DEL,07-Jun,10:05,18:35,8h 30,1, SXR,15314
 GoAir,BOM,DEL,07-Jun,21:50,08:05,10h 15,1, CCU,14850
 SpiceJet,BOM,DEL,07-Jun,10:05,20:20,10h 15,1, SXR,15194
 Air India,BOM,DEL,07-Jun,05:05,16:45,11h 40,1, GOI,13610
 Vistara,BOM,DEL,07-Jun,06:00,19:50,13h 50,1, IXC,11509
 Air India,BOM,DEL,07-Jun,20:10,08:55,12h 45,1, HYD,12770
 Air India,BOM,DEL,07-Jun,09:50,20:20,10h 30,2," RPR, VTZ",15658
 Air India,BOM,DEL,07-Jun,09:30,19:50,10h 20,1, BLR,16376
 Air India,BOM,DEL,07-Jun,12:15,23:40,11h 25,1, BBI,15351
 Vistara,BOM,DEL,07-Jun,09:45,20:00,10h 15,1, MAA,17448
 Vistara,BOM,DEL,07-Jun,21:20,09:00,11h 40,1, HYD,15868
 Vistara,BOM,DEL,07-Jun,06:35,08:20,25h 45,1, AMD,7741
 Air India,BOM,DEL,07-Jun,21:05,09:15,12h 10,1, CCU,16434
 Vistara,BOM,DEL,07-Jun,21:30,09:40,12h 10,1, BLR,16918
 Vistara,BOM,DEL,07-Jun,21:00,09:55,12h 55,1, MAA,15961
 Vistara,BOM,DEL,07-Jun,19:20,09:00,13h 40,1, HYD,15133
 Air India,BOM,DEL,07-Jun,06:00,20:55,14h 55,1, PAT,15399
 SriLankan Airlines,BOM,DEL,07-Jun,20:40,04:15,7h 35,1, CMB,31079
 Vistara,BOM,DEL,07-Jun,21:30,14:10,16h 40,1, BLR,14963
 Vistara,BOM,DEL,07-Jun,06:45,23:55,17h 10,1, MAA,14809
 Air India,BOM,DEL,07-Jun,05:55,00:15,18h 20,1, ATQ,14200
 Vistara,BOM,DEL,07-Jun,17:20,09:35,16h 15,1, CCU,16288
 Vistara,BOM,DEL,07-Jun,18:15,15:15,21h,1, BBI,14755
 Air India,BOM,DEL,07-Jun,09:50,09:25,23h 35,1, RPR,13255
 Vistara,BOM,DEL,07-Jun,18:15,11:55,17h 40,1, BBI,17905
 Air India,BOM,DEL,07-Jun,16:35,17:20,24h 45,1, RAJ,12842
 Vistara,BOM,DEL,07-Jun,17:00,19:50,26h 50,1, IXC,12299
 Emirates,BOM,DEL,07-Jun,04:30,14:45,10h 15,1, DXB,32664
 Vistara,BOM,DEL,07-Jun,13:20,16:50,27h 30,1, VNS,13621
 Vistara,BOM,DEL,07-Jun,18:15,22:55,28h 40,1, BBI,14053
 Air India,BOM,DEL,07-Jun,11:15,10:20,23h 05,1, LKO,19431
 Air India,BOM,DEL,07-Jun,17:20,20:45,27h 25,1, TRV,19227
 Singapore Airlines,BOM,DEL,07-Jun,11:45,05:40,17h 55,1, SIN,51877
 Singapore Airlines,BOM,DEL,07-Jun,23:40,20:10,20h 30,1, SIN,55657
 GoAir,DEL,CCU,07-Jun,05:45,07:50,2h 05,0,,6000
 Vistara,DEL,CCU,07-Jun,17:30,19:35,2h 05,0,,7541
 Vistara,DEL,CCU,07-Jun,20:30,22:45,2h 15,0,,7010
 SpiceJet,DEL,CCU,07-Jun,07:05,09:05,2h,0,,6963
 GoAir,DEL,CCU,07-Jun,21:40,23:55,2h 15,0,,6744
 Vistara,DEL,CCU,07-Jun,06:15,08:20,2h 05,0,,7010
 GoAir,DEL,CCU,07-Jun,21:25,23:40,2h 15,0,,6900
 IndiGo,DEL,CCU,07-Jun,18:40,20:45,2h 05,0,,7804
 IndiGo,DEL,CCU,07-Jun,22:20,00:15,1h 55,0,,7804
 IndiGo,DEL,CCU,07-Jun,17:35,19:40,2h 05,0,,7804
 IndiGo,DEL,CCU,07-Jun,15:20,17:25,2h 05,0,,7804
 SpiceJet,DEL,CCU,07-Jun,19:30,21:55,2h 25,0,,6963
 Air India,DEL,CCU,07-Jun,20:15,22:25,2h 10,0,,7748
 Vistara,DEL,CCU,07-Jun,07:30,09:35,2h 05,0,,7587
 IndiGo,DEL,CCU,07-Jun,12:25,14:30,2h 05,0,,7804
 IndiGo,DEL,CCU,07-Jun,06:05,07:50,1h 45,0,,7804
 Air India,DEL,CCU,07-Jun,06:50,09:00,2h 10,0,,7748
 IndiGo,DEL,CCU,07-Jun,08:40,10:45,2h 05,0,,7804
 IndiGo,DEL,CCU,07-Jun,07:10,09:20,2h 10,0,,7804
 SpiceJet,DEL,CCU,07-Jun,18:35,20:50,2h 15,0,,8163
 IndiGo,DEL,CCU,07-Jun,20:00,22:05,2h 05,0,,8547
 IndiGo,DEL,CCU,07-Jun,03:00,05:05,2h 05,0,,7804
 AirAsia India,DEL,CCU,07-Jun,20:40,23:00,2h 20,0,,7681
 Vistara,DEL,CCU,07-Jun,15:55,18:05,2h 10,0,,9041
 IndiGo,DEL,CCU,07-Jun,09:55,12:05,2h 10,0,,10035
 Novaturas,DEL,CCU,07-Jun,21:40,23:55,2h 15,0,,10771
 IndiGo,DEL,CCU,07-Jun,13:25,17:30,4h 05,1, PAT,7804
 Air India,DEL,CCU,07-Jun,16:45,19:10,2h 25,0,,15204
 Hahn Air Systems,DEL,CCU,07-Jun,07:05,09:05,2h,0,,18954
 IndiGo,DEL,CCU,07-Jun,16:20,21:35,5h 15,1, IXR,7804
 IndiGo,DEL,CCU,07-Jun,10:15,15:30,5h 15,1, IXR,7804
 IndiGo,DEL,CCU,07-Jun,07:20,12:30,5h 10,1, JAI,8192
 Hahn Air Systems,DEL,CCU,07-Jun,18:35,20:50,2h 15,0,,18954
 IndiGo,DEL,CCU,07-Jun,12:25,17:30,5h 05,1, PAT,8404
 IndiGo,DEL,CCU,07-Jun,12:45,18:15,5h 30,1, LKO,7804
 IndiGo,DEL,CCU,07-Jun,05:30,11:25,5h 55,1, LKO,7544
 GoAir,DEL,CCU,07-Jun,10:15,16:05,5h 50,1, PNQ,7743
 Hahn Air Systems,DEL,CCU,07-Jun,19:30,21:55,2h 25,0,,18954
 GoAir,DEL,CCU,07-Jun,17:45,00:30,6h 45,1, BOM,7743
 IndiGo,DEL,CCU,07-Jun,14:00,19:05,5h 05,1, GOP,10519
 IndiGo,DEL,CCU,07-Jun,10:30,17:25,6h 55,1, VNS,7804
 IndiGo,DEL,CCU,07-Jun,15:15,22:40,7h 25,1, RPR,7804
 IndiGo,DEL,CCU,07-Jun,13:00,20:10,7h 10,1, JAI,8192
 IndiGo,DEL,CCU,07-Jun,11:55,18:30,6h 35,1, RPR,9080
 AirAsia India,DEL,CCU,07-Jun,10:05,14:50,4h 45,1, IXB,14427
 IndiGo,DEL,CCU,07-Jun,09:20,17:30,8h 10,1, PAT,8404
 GoAir,DEL,CCU,07-Jun,18:30,00:30,6h,1, BOM,13672
 IndiGo,DEL,CCU,07-Jun,07:30,13:15,5h 45,1, IXB,14397
 SpiceJet,DEL,CCU,07-Jun,21:40,08:55,11h 15,1, BOM,7743
 SpiceJet,DEL,CCU,07-Jun,11:55,20:45,8h 50,1, JRG,10390
 Vistara,DEL,CCU,07-Jun,14:20,19:55,5h 35,1, BOM,16469
 SpiceJet,DEL,CCU,07-Jun,08:45,20:50,12h 05,1, MAA,7743
 IndiGo,DEL,CCU,07-Jun,08:25,19:05,10h 40,1, GOP,8968
 GoAir,DEL,CCU,07-Jun,12:20,19:35,7h 15,1, GAU,13519
 SpiceJet,DEL,CCU,07-Jun,10:20,17:15,6h 55,1, GAU,14244
 IndiGo,DEL,CCU,07-Jun,07:55,18:15,10h 20,1, LKO,9554
 Vistara,DEL,CCU,07-Jun,10:20,16:55,6h 35,1, BOM,15570
 AirAsia India,DEL,CCU,07-Jun,07:10,16:05,8h 55,2," GAU, IMF",11581
 SpiceJet,DEL,CCU,07-Jun,06:05,20:00,13h 55,1, BLR,7743
 SpiceJet,DEL,CCU,07-Jun,19:45,08:55,13h 10,1, BOM,8553
 Vistara,DEL,CCU,07-Jun,12:50,19:55,7h 05,1, BOM,16067
 SpiceJet,DEL,CCU,07-Jun,18:25,09:15,14h 50,1, MAA,7743
 Vistara,DEL,CCU,07-Jun,08:50,16:55,8h 05,1, BOM,14381
 SpiceJet,DEL,CCU,07-Jun,13:05,18:10,5h 05,1, IXB,23036
 Vistara,DEL,CCU,07-Jun,09:30,16:55,7h 25,1, BOM,16589
 SpiceJet,DEL,CCU,07-Jun,06:30,13:10,6h 40,1, IXB,18759
 SpiceJet,DEL,CCU,07-Jun,07:20,23:35,16h 15,1, BOM,7743
 Vistara,DEL,CCU,07-Jun,11:40,19:55,8h 15,1, BOM,16589
 GoAir,DEL,CCU,07-Jun,22:45,08:30,9h 45,1, BOM,14171
 Air India,DEL,CCU,07-Jun,15:05,23:50,8h 45,2," IDR, BOM",17208
 Vistara,DEL,CCU,07-Jun,07:30,16:55,9h 25,1, BOM,16589
 Air India,DEL,CCU,07-Jun,14:00,23:50,9h 50,1, BOM,16037
 GoAir,DEL,CCU,07-Jun,20:05,08:35,12h 30,1, AMD,12947
 Vistara,DEL,CCU,07-Jun,06:00,16:55,10h 55,1, BOM,14954
 AirAsia India,DEL,CCU,07-Jun,15:30,02:55,11h 25,1, PNQ,14782
 GoAir,DEL,CCU,07-Jun,20:55,07:45,10h 50,1, HYD,16943
 GoAir,DEL,CCU,07-Jun,06:00,16:00,10h,1, IXB,18372
 GoAir,DEL,CCU,07-Jun,20:30,09:45,13h 15,1, BLR,13916
 Air India,DEL,CCU,07-Jun,21:15,08:50,11h 35,1, BOM,16037
 Air India,DEL,CCU,07-Jun,21:30,08:15,10h 45,1, HYD,17380
 Vistara,DEL,CCU,07-Jun,21:30,09:40,12h 10,1, BOM,15452
 Vistara,DEL,CCU,07-Jun,21:20,09:40,12h 20,2," AMD, BOM",16610
 Air India,DEL,CCU,07-Jun,20:40,10:40,14h,1, MAA,14987
 Air India,DEL,CCU,07-Jun,09:30,15:25,5h 55,1, GAU,35632
 Air India,DEL,CCU,07-Jun,05:15,22:00,16h 45,1, STV,13379
 Vistara,DEL,CCU,07-Jun,05:55,19:55,14h,2," IDR, BOM",16221
 Vistara,DEL,CCU,07-Jun,06:15,16:55,10h 40,2," BLR, BOM",21838
 Air India,DEL,CCU,07-Jun,17:55,08:50,14h 55,2," IXU, BOM",16183
 Vistara,DEL,CCU,07-Jun,20:40,09:40,13h,1, BOM,18960
 Hahn Air Systems,DEL,CCU,07-Jun,10:20,17:15,6h 55,1, GAU,37098
 Vistara,DEL,CCU,07-Jun,17:45,09:40,15h 55,1, BOM,16589
 Vistara,DEL,CCU,07-Jun,16:45,09:40,16h 55,1, BOM,16067
 Hahn Air Systems,DEL,CCU,07-Jun,06:30,13:10,6h 40,1, IXB,41580
 Vistara,DEL,CCU,07-Jun,07:05,19:55,12h 50,2," HYD, BOM",21642
 Vistara,DEL,CCU,07-Jun,15:30,09:40,18h 10,1, BOM,16067
 Air India,DEL,CCU,07-Jun,16:15,10:40,18h 25,1, MAA,16564
 Hahn Air Systems,DEL,CCU,07-Jun,11:55,20:45,8h 50,1, JRG,35934
 Air India,DEL,CCU,07-Jun,09:45,08:15,22h 30,1, HYD,17402
 Air India,DEL,CCU,07-Jun,07:10,08:15,25h 05,1, HYD,15724
 Air India,DEL,CCU,07-Jun,21:15,23:50,26h 35,2," ATQ, BOM",15108
 Hahn Air Systems,DEL,CCU,07-Jun,21:40,08:55,11h 15,1, BOM,38883
 SpiceJet,DEL,CCU,07-Jun,13:05,13:10,24h 05,1, IXB,18626
 Emirates,DEL,CCU,07-Jun,16:15,08:15,16h,1, DXB,33349
 Air India,DEL,CCU,07-Jun,05:30,10:40,29h 10,2," VTZ, IXZ",20149
 Hahn Air Systems,DEL,CCU,07-Jun,11:05,20:00,8h 55,2," JAI, GAU",75390
 Hahn Air Systems,DEL,CCU,07-Jun,08:45,20:50,12h 05,1, MAA,59513
 Air India,DEL,CCU,07-Jun,15:05,08:15,17h 10,3," IDR, BOM, HYD",44310
 Hahn Air Systems,DEL,CCU,07-Jun,09:35,20:00,10h 25,2," PAT, GAU",73446
 Air India,DEL,CCU,07-Jun,14:00,08:15,18h 15,2," BOM, HYD",43302
 Vistara,DEL,CCU,07-Jun,17:35,09:40,16h 05,2," BLR, BOM",49196
 Hahn Air Systems,DEL,CCU,07-Jun,06:25,17:15,10h 50,2," VNS, GAU",76363
 Hahn Air Systems,DEL,CCU,07-Jun,06:05,20:00,13h 55,1, BLR,59513
 Hahn Air Systems,DEL,CCU,07-Jun,18:25,09:15,14h 50,1, MAA,59513
 Hahn Air Systems,DEL,CCU,07-Jun,12:05,23:35,11h 30,2," GOI, BOM",78335
 Air India,DEL,CCU,07-Jun,09:30,13:40,28h 10,2," GAU, IMF",33002
 Hahn Air Systems,DEL,CCU,07-Jun,07:20,23:35,16h 15,1, BOM,60537
 Hahn Air Systems,DEL,CCU,07-Jun,13:05,13:10,24h 05,1, IXB,40950
 Singapore Airlines,DEL,CCU,07-Jun,09:00,22:35,13h 35,1, SIN,99433
 Hahn Air Systems,DEL,CCU,07-Jun,05:45,23:35,17h 50,2," RAJ, BOM",76868
 Singapore Airlines,DEL,CCU,07-Jun,21:55,22:35,24h 40,1, SIN,66095
